tile_index,objname,P_Mstar,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
27091.0,WISEA J181229.94+181714.6,0.0006992802409693165,273.20088,18.0,,,
28777.0,UGC 11253,0.0006982804976250978,277.934936,23.0,,,
26405.0,UGC 11198,0.000696487440515318,274.559409,16.0,,,
34235.0,WISEA J183148.52+405216.8,0.0006908582465027746,277.787438,41.0,,,
34496.0,WISEA J175044.90+420327.2,0.000680215119858384,267.079243,42.0,,,
28774.0,2MFGC 14339,0.0006653621969321368,274.675855,23.0,,,
34764.0,WISEA J181039.38+431352.8,0.0006630150065135614,271.991577,43.0,,,
31330.0,WISEA J180422.13+305140.7,0.00065036285852019,270.86402,31.0,,,
27768.0,UGC 11104,0.0006483610706743613,271.280524,20.0,,,
32535.0,WISEA J181335.49+343112.6,0.000635311163928189,273.240093,35.0,,,
33397.0,WISEA J175246.26+381502.4,0.000626523031999935,268.506099,38.0,,,
31945.0,CGCG 173-011,0.0006221490343231455,278.83865,33.0,,,
32233.0,WISEA J174103.87+340145.5,0.000621819901739998,265.358747,34.0,,,
26752.0,WISEA J182826.89+170332.0,0.0006174096945279304,276.877839,17.0,,,
28765.0,CGCG 141-003,0.0006153921045562572,264.898612,23.0,,,
31022.0,ARK 538,0.0006071648545378411,273.372508,30.0,,,
33955.0,WISEA J175131.16+401927.5,0.0005985504553200094,268.264707,40.0,,,
29748.0,WISEA J175029.14+261911.9,0.0005839617527558694,267.258831,26.0,,,
28109.0,CGCG 114-005,0.0005577212582444144,276.336141,21.0,,,
29100.0,WISEA J180200.04+240128.9,0.0005541566695884717,270.767705,24.0,,,
28101.0,WISEA J175125.91+202923.0,0.0005532977714306156,267.766982,21.0,,,
32234.0,CGCG 199-022,0.0005394686533812755,266.564965,34.0,,,
27436.0,CGCG 114-009,0.0005173798285616033,278.057686,19.0,,,
33116.0,WISEA J181156.97+371937.4,0.0005077532653611041,273.445882,37.0,,,
29098.0,WISEA J175351.74+242800.2,0.0004659701843541673,268.578433,24.0,,,
35532.0,CGCG 254-024,0.00046032972625664823,273.392987,46.0,,,
30393.0,CGCG 172-004,0.0004520157704711076,272.761147,28.0,,,
31333.0,UGC 11195 NED01,0.00044260526225351854,274.363921,31.0,,,
33681.0,UGC 11132,0.0004375026229080493,272.017888,39.0,,,
31942.0,WISEA J182142.59+324028.7,0.0004356135075029051,275.26156,33.0,,,
28778.0,WISEA J183417.79+224827.1,0.00042645984997969597,279.021297,23.0,,,
31026.0,CGCG 172-040,0.000408151789422098,277.99131,30.0,,,
33684.0,WISEA J182339.69+383050.7,0.00040336685874737665,275.878167,39.0,,,
32530.0,CGCG 199-024,0.0004025343261463581,267.13622,35.0,,,
27432.0,WISEA J181333.74+191217.7,0.0004006747583055292,273.827203,19.0,,,
31944.0,WISEA J182915.13+324434.1,0.00038297050299064154,277.646286,33.0,,,
33401.0,WISEA J181304.05+380350.9,0.00037805130260683316,273.582171,38.0,,,
28435.0,WISEA J174733.28+214421.9,0.0003679343390817881,266.594805,22.0,,,
33958.0,WISEA J180926.65+395055.1,0.00036300774474294975,272.180929,40.0,,,
27433.0,UGC 11188,0.0003277720617567352,274.884824,19.0,,,
