tile_index,RA,Dec,tile_prob
11780,274.071096,45.099963,0.005608792672222928
9563,272.23794,22.583302,0.005561951912778766
9754,274.631259,24.315353,0.005497456092268822
9751,268.929303,24.315353,0.00541200987913432
10122,266.301644,27.779455,0.005340623375024323
10657,265.700898,32.975607,0.005304408169332029
10303,265.077982,29.511506,0.005202618784063841
10127,276.090027,27.779455,0.005173277184400213
10487,276.312625,31.243557,0.005164816360649541
11166,276.632242,38.17176,0.005093522053923943
9937,267.146963,26.047404,0.004996449885876133
9562,270.36205,22.583302,0.004922564274017838
11633,275.959025,43.367912,0.004813573957144456
9750,267.028651,24.315353,0.004796190477375363
11778,269.163547,45.099963,0.0047731884180643325
11161,265.616372,38.17176,0.004658167984486595
11922,269.89336,46.832014,0.004575840588181544
11002,277.491615,36.439709,0.004544253156010821
9942,276.786271,26.047404,0.004451695013122092
9564,274.11383,22.583302,0.004415475037083877
11923,272.425081,46.832014,0.004390867698619027
11321,266.237379,39.903811,0.004339332660789677
11326,277.526651,39.903811,0.0042906664516513295
10481,264.157459,31.243557,0.0042738564722746885
9371,273.918654,20.851252,0.004268615294923644
9561,268.48616,22.583302,0.0042281511952883336
9560,266.61027,22.583302,0.00422630519680972
11482,277.620189,41.635861,0.004193495502723944
9936,265.219101,26.047404,0.003984374421234516
9755,276.531911,24.315353,0.003922016954605099
9370,272.065217,20.851252,0.0038986057735364266
10121,264.343967,27.779455,0.00385147481710346
9369,270.21178,20.851252,0.003755536493079503
10309,277.019635,29.511506,0.0037382071432572575
11781,276.524871,45.099963,0.0037161666205667034
9749,265.127999,24.315353,0.0034879952810732886
9559,264.73438,22.583302,0.0034334129942114977
9368,268.358344,20.851252,0.003428309207997013
9372,275.772091,20.851252,0.003382807096479578
10996,264.573612,36.439709,0.0033638663205373147
9565,275.98972,22.583302,0.0032738392257871435
10828,263.730557,34.707658,0.0032193555730985353
11924,274.956802,46.832014,0.0031975324429530257
9177,274.101634,19.119201,0.003182394388453365
10663,278.088877,32.975607,0.00313478095378203
10302,263.087706,29.511506,0.003064830671574586
11477,266.032742,41.635861,0.0030275824424061985
11629,266.428639,43.367912,0.0030169929427329083
9367,266.504907,20.851252,0.0030113444482474288
9176,272.268464,19.119201,0.0029617922033956614
10656,263.636235,32.975607,0.0029420062851004906
12061,270.972041,48.564065,0.002841256183544409
9174,268.602124,19.119201,0.0027420638146674237
9748,263.227347,24.315353,0.0027292478659314717
11634,278.341622,43.367912,0.0027111612740729997
9175,270.435294,19.119201,0.0026849381677219093
10120,262.38629,27.779455,0.002618776939494468
9366,264.65147,20.851252,0.00259917031205522
9935,263.291239,26.047404,0.0025896130678207357
11167,278.835416,38.17176,0.0025694154166055094
10480,262.131598,31.243557,0.0025256342643410513
12062,273.589293,48.564065,0.0024819412115539966
10835,278.479163,34.707658,0.00246686880853624
