tile_index,RA,Dec,tile_prob
35026,274.319452,44.0,0.0018894966185537035
35023,270.148961,44.0,0.0018859301727176191
33396,267.23708,38.0,0.0018639678476871473
29099,269.673069,24.0,0.0018634132506420333
30388,267.098297,28.0,0.0018617681299167455
31935,266.915017,33.0,0.0018454700267221224
30704,267.164239,29.0,0.001807994708394022
35279,270.791752,45.0,0.0017958221620251482
34234,276.462425,41.0,0.0017557645958953835
32234,266.564965,34.0,0.0017424254610981737
29431,275.174085,25.0,0.0017366806257128745
33119,277.202289,37.0,0.0017323168172602979
35281,273.620179,45.0,0.0016865572789569892
29104,275.146251,24.0,0.001685179437133609
33685,277.164926,39.0,0.00168037751594544
28771,271.416774,23.0,0.0016566210772848609
30712,276.311072,29.0,0.0016404929939094347
28442,274.144549,22.0,0.0016287472881406613
33111,267.185203,37.0,0.0015671522068733497
29098,268.578433,24.0,0.001547922233227296
31632,266.370356,32.0,0.0015402969695190668
35022,268.758797,44.0,0.0015346954805055266
29748,267.258831,26.0,0.001519001485983495
34497,268.424876,42.0,0.0015141614552488091
28775,275.762216,23.0,0.0015134830195011437
31016,266.444304,30.0,0.0014782307547491456
30387,265.965727,28.0,0.001470611877212457
31641,276.982961,32.0,0.001450817041039483
34767,276.09356,43.0,0.0014450154057504307
28440,271.987479,22.0,0.0014367148345257792
32822,266.934772,36.0,0.001419934388032624
32538,276.902417,35.0,0.0014193113432940843
29424,267.45044,25.0,0.0013991443683855713
28770,270.330414,23.0,0.0013938559538343785
28443,275.223083,22.0,0.001351921903909476
31025,276.836609,30.0,0.0013494174368495258
30703,266.020885,29.0,0.0013439353332025867
33954,266.9593,40.0,0.0013041684313094858
31934,265.722654,33.0,0.0012902300087864762
30078,276.416675,27.0,0.0012896506663638723
28107,274.193851,21.0,0.0012844668119404666
30069,266.315739,27.0,0.0012832669137630187
29097,267.483797,24.0,0.0012671196542187748
28106,273.122706,21.0,0.001248786613214011
31335,276.697187,31.0,0.0012476082397489669
29756,276.159647,26.0,0.0012148568861334464
28439,270.908944,22.0,0.0012043555569664053
29747,266.146229,26.0,0.001199796618089813
32831,278.059383,36.0,0.0011894401026576738
35532,273.392987,46.0,0.0011856925602429925
28769,269.244053,23.0,0.001176149126571761
32243,277.420927,34.0,0.0011727010162975757
34503,276.498672,42.0,0.0011719714090883983
29096,266.38916,24.0,0.0011529422906041424
32529,265.915445,35.0,0.0011515159225969124
34762,269.256922,43.0,0.0011503767699492927
30068,265.193413,27.0,0.0011281860922117593
28108,275.264996,21.0,0.0011143840623470762
29432,276.277463,25.0,0.001108840878084047
29105,276.240887,24.0,0.0011073817212519895
29423,266.347062,25.0,0.0010950340366982364
33404,277.389226,38.0,0.0010885873913474785
33677,266.87085,39.0,0.0010728710604201626
31325,265.030853,31.0,0.001069786155764579
28105,272.051561,21.0,0.0010329817634792925
28438,269.83041,22.0,0.0010239456660083102
31015,265.289604,30.0,0.000986065587976484
35531,271.95343,46.0,0.0009592674771471898
35533,274.832543,46.0,0.000952367672769732
28444,276.301618,22.0,0.0009396173640334172
27771,274.473057,20.0,0.000933538747187214
33962,277.402558,40.0,0.0009299349723481111
28768,268.157693,23.0,0.0009294093086722448
28437,268.751875,22.0,0.0009219971574523498
34227,267.187334,41.0,0.0009167690212662621
29746,265.033628,26.0,0.0009119233156857385
27770,273.408879,20.0,0.0009100250165641403
28776,276.848576,23.0,0.0009024893253626018
32233,265.358747,34.0,0.0008937771691850473
35282,275.034393,45.0,0.0008905551989563087
35027,275.709615,44.0,0.0008858375611063428
28104,270.980417,21.0,0.000853081280834099
27769,272.344702,20.0,0.0008498009868433531
